Dataset,Graph ID,Vertices,Edges,Algorithm,Total Cost,Operations Count,Execution Time (ms)
small,1,5,7,Prim,16,27,10,9838
small,1,5,7,Kruskal,16,35,1,4600
small,2,4,5,Prim,6,19,0,0681
small,2,4,5,Kruskal,6,22,0,0363
small,3,6,7,Prim,19,27,0,0703
small,3,6,7,Kruskal,19,46,0,0345
medium,1,10,11,Prim,38,42,0,0894
medium,1,10,11,Kruskal,38,68,0,0461
medium,2,12,13,Prim,60,49,0,0916
medium,2,12,13,Kruskal,60,84,0,0530
medium,3,13,14,Prim,80,55,0,0641
medium,3,13,14,Kruskal,80,90,0,0383
large,1,20,22,Prim,90,86,0,1649
large,1,20,22,Kruskal,90,164,0,0971
large,2,26,28,Prim,113,112,0,5840
large,2,26,28,Kruskal,113,223,0,0762
